	study_name	sample_id	NCBI_accession	ftp_urls	url_counts
22029	XieH_2016	YSZC12003_37172	ERR912033	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912033/ERR912033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912033/ERR912033_2.fastq.gz	2
22030	XieH_2016	YSZC12003_37173	ERR912034	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912034/ERR912034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912034/ERR912034_2.fastq.gz	2
22031	XieH_2016	YSZC12003_37174	ERR912142	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912142/ERR912142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912142/ERR912142_2.fastq.gz	2
22032	XieH_2016	YSZC12003_37175	ERR912143	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912143/ERR912143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912143/ERR912143_2.fastq.gz	2
22033	XieH_2016	YSZC12003_37176	ERR912107	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912107/ERR912107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912107/ERR912107_2.fastq.gz	2
22034	XieH_2016	YSZC12003_37179	ERR912035	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912035/ERR912035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912035/ERR912035_2.fastq.gz	2
22035	XieH_2016	YSZC12003_37181R1	ERR912036	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912036/ERR912036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912036/ERR912036_2.fastq.gz	2
22036	XieH_2016	YSZC12003_37182R1	ERR912108	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912108/ERR912108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912108/ERR912108_2.fastq.gz	2
22037	XieH_2016	YSZC12003_37189R1	ERR912037	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912037/ERR912037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912037/ERR912037_2.fastq.gz	2
22038	XieH_2016	YSZC12003_37190R1	ERR912038	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912038/ERR912038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912038/ERR912038_2.fastq.gz	2
